competition_section,match_number,match_date,date_raw,tournament,round,stadium,home_team,away_team,home_score,away_score,score_note,home_scorers,away_scorers
primera_division,132,1981-07-05,5 de julio de 1981,Metropolitano 1981,27,El Monumental,River Plate,Boca Juniors,1,1,,Kempes (65),Maradona (55)
primera_division,133,1981-09-27,27 de septiembre de 1981,Nacional 1981,03,La Bombonera,Boca Juniors,River Plate,2,3,,"Maradona (20), Gareca (82)","Kempes (64), Passarella (p. 68), García (80)"
primera_division,134,1981-11-01,1 de noviembre de 1981,Nacional 1981,10,El Monumental,River Plate,Boca Juniors,2,2,,"López (5), Vieta (55)","Maradona (45, p. 90)"
primera_division,135,1982-03-07,7 de marzo de 1982,Nacional 1982,05,El Monumental,River Plate,Boca Juniors,1,5,,J. Tévez (4),"Ruggeri (12), Gareca (30, 75), Córdoba (53, 57)"
primera_division,136,1982-04-25,25 de abril de 1982,Nacional 1982,13,La Bombonera,Boca Juniors,River Plate,0,0,,,
primera_division,137,1982-09-19,19 de septiembre de 1982,Metropolitano 1982,12,El Monumental,River Plate,Boca Juniors,1,1,,Olarticoechea (42),Gareca (57)
primera_division,138,1982-12-02,2 de diciembre de 1982,Metropolitano 1982,31,La Bombonera,Boca Juniors,River Plate,0,2,,,"Vieta (67), Messina (85)"
primera_division,139,1983-10-05,5 de octubre de 1983,Metropolitano 1983,05,El Monumental,River Plate,Boca Juniors,1,2,,Tapia (4),"Passucci (28), Stocco (85)"
primera_division,140,1983-10-19,19 de octubre de 1983,Metropolitano 1983,24,Estadio José Amalfitani; (Vélez Sarsfield),Boca Juniors,River Plate,1,0,,Berta (55),
primera_division,141,1984-06-24,24 de junio de 1984,Metropolitano 1984,13,El Monumental,Boca Juniors,River Plate,1,1,,Krasouski (39),Stafuza (e. c. 61)
primera_division,142,1984-11-11,11 de noviembre de 1984,Metropolitano 1984,32,El Monumental,River Plate,Boca Juniors,4,1,,"Alonso (55, 71), Francescoli (p. 74, p. 89)",R. Herrera (57)
primera_division,143,1985-10-27,27 de octubre de 1985,Campeonato 1985-1986,17,El Monumental,River Plate,Boca Juniors,1,0,,A. Montenegro (27),
primera_division,144,1986-04-06,6 de abril de 1986,Campeonato 1985-1986,36,La Bombonera,Boca Juniors,River Plate,0,2,,,"Alonso (31, 85)"
primera_division,145,1986-11-02,2 de noviembre de 1986,Campeonato 1986-1987,17,La Bombonera,Boca Juniors,River Plate,1,0,,Comas (71),
primera_division,146,1987-04-13,13 de abril de 1987,Campeonato 1986-1987,36,El Monumental,River Plate,Boca Juniors,1,1,,Alzamendi (16),Rinaldi (63)
primera_division,147,1987-11-22,22 de noviembre de 1987,Campeonato 1987-1988,15,El Monumental,River Plate,Boca Juniors,3,2,,"J. Da Silva (59), Corti (62), Palma (87)","Rinaldi (44, 51)"
primera_division,148,1988-04-30,30 de abril de 1988,Campeonato 1987-1988,34,La Bombonera,Boca Juniors,River Plate,2,2,,"Graciani (28, 67)","Alzamendi (14), Ruggeri (76)"
primera_division,149,1988-09-18,18 de septiembre de 1988,Campeonato 1988-1989,02,El Monumental,River Plate,Boca Juniors,0,2,,,"Perazzo (79), Graciani (88)"
primera_division,150,1989-02-05,5 de febrero de 1989,Campeonato 1988-1989,21,La Bombonera,Boca Juniors,River Plate,0,0,(3-4p.),,
primera_division,151,1989-07-19,19 de julio de 1989,Liguilla Pre Libertadores 1988-1989,6.º Fase,El Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,152,1989-07-24,24 de julio de 1989,Liguilla Pre Libertadores 1988-1989,6.º Fase,La Bombonera,Boca Juniors,River Plate,0,0,,,
